city,latitude,longitude,cluster
Balandougou,13.3558,-9.5517,19
Jiangyin,31.839,120.295,602
Valencia,39.47,-0.3764,16
Agra,27.18,78.02,877
Leon de los Aldama,21.1167,-101.6833,316
Puebla,19.0333,-98.1833,401
Columbus,39.9862,-82.9855,146
Yopougon,5.3167,-4.0667,156
Hebi,35.748,114.297,597
Shiraz,29.61,52.5425,8
Madurai,9.9252,78.1198,700
Huzhou,30.8925,120.0875,602
Tabriz,38.0814,46.3006,377
Jamshedpur,22.7925,86.1842,334
Maracaibo,10.6333,-71.6333,191
Sofia,42.7,23.33,925
San Jose,9.9325,-84.08,114
Prayagraj,25.4358,81.8464,364
Palembang,-2.9861,104.7556,504
Kawasaki,35.5167,139.7,4
Kobe,34.69,135.1956,765
Jiaxing,30.747,120.756,602
Kigali,-1.9439,30.0594,188
Zhangjiajie,29.117,110.479,844
Baiyin,36.5451,104.1389,809
Guiping,23.4,110.0833,605
Lianjiang,21.7333,110.2833,605
Jianguang,28.1958,115.7833,782
Yucheng,30.01,103.0415,234
Xushan,30.1667,121.2333,602
Panama City,8.9833,-79.5167,873
Nneyi-Umuleri,6.3333,6.8333,727
Leizhou,20.9143,110.0967,112
Gwangju,35.1653,126.8486,663
Katako-Kombe,-3.4,24.42,464
Recife,-8.05,-34.9,748
Nasik,19.9975,73.7898,591
Valencia,10.1833,-68.0,160
Onitsha,6.1667,6.7833,727
Abu Dhabi,24.4667,54.3667,642
Zapopan,20.7167,-103.4,6
Daejeon,36.35,127.385,66
Bronx,40.8501,-73.8662,328
Yekaterinburg,56.8356,60.6128,163
Huazhou,32.688,112.087,844
Jinhua,29.079,119.647,792
Kyoto,35.0117,135.7683,765
Amsterdam,52.3728,4.8936,954
Pizhou,34.398,117.89,975
Kismaayo,-0.3581,42.5453,964
Yangshe,31.8767,120.556,602
Virginia Beach,36.7335,-76.0435,586
Dakar,14.6928,-17.4467,133
Goiania,-16.6667,-49.25,124
Charlotte,35.2083,-80.8303,775
Rui'an,27.7833,120.625,792
Muscat,23.6139,58.5922,259
Kharkiv,49.9925,36.2311,73
Wenling,28.3667,121.3667,792
Gaozhou,21.9244,110.8422,605
Faridabad,28.4211,77.3078,981
Medina,24.47,39.61,801
Khulna,22.8167,89.55,233
Ulaanbaatar,47.9203,106.9172,299
Fuqing,25.7167,119.3833,902
Kayseri,38.7225,35.4875,145
Tel Aviv-Yafo,32.08,34.78,485
Wuzhong,37.9978,106.1986,435
Pingdu,36.7769,119.9884,386
Sangereng,-6.2889,106.7181,692
Yangquan,37.8571,113.5804,415
Samsun,41.2903,36.3336,210
Yutan,28.278,112.552,190
Copenhagen,55.6761,12.5683,567
Helsinki,60.1708,24.9375,950
Prague,50.0875,14.4214,419
Milan,45.4669,9.19,336
Auckland,-36.8406,174.74,51
Santiago,19.4572,-70.6889,384
Chizhou,30.6654,117.4916,253
Makassar,-5.1619,119.4362,241
Liangshi,27.26,111.7442,190
Porto Alegre,-30.0331,-51.23,636
Huangshan,29.7149,118.3376,253
Barranquilla,10.9833,-74.8019,717
Al Basrah,30.515,47.81,362
Benxi,41.4868,123.685,353
Saitama,35.8614,139.6456,4
Guarulhos,-23.4628,-46.5328,638
Juarez,31.745,-106.485,289
Mandalay,21.9831,96.0844,390
Xintai,35.909,117.768,975
Wusong,30.9333,117.7667,253
Calgary,51.05,-114.0667,427
Meerut,28.98,77.71,100
Yushu,44.826,126.55,338
Belem,-1.4558,-48.5039,307
Kuaidamao,41.7283,125.9397,867
Huazhou,21.664,110.6396,605
Baishan,41.944,126.4147,338
Adelaide,-34.9275,138.6,721
Haicheng,40.8824,122.6852,353
Milwaukee,43.0642,-87.9675,740
Providence,41.823,-71.4187,131
Jacksonville,30.3322,-81.6749,49
Yicheng,31.36,119.815,602
Cacuaco,-8.8053,13.2444,523
Porto,41.1621,-8.622,79
Rosario,-32.9575,-60.6394,351
Canagatan,18.0,121.8,118
Soweto,-26.2678,27.8585,742
Bagam,1.13,104.0531,797
Jabalpur,23.1667,79.9333,945
Rucheng,32.246,120.591,602
Huaiyin,33.5819,119.028,975
Dublin,53.35,-6.2603,242
Kazan,55.7964,49.1089,84
Dayan,26.8552,100.2259,225
Shaoyang,32.912,119.8526,602
Balikesir,39.6333,27.8833,922
Comayaguela,14.098,-87.21,690
Laiwu,36.1833,117.6667,975
Sharjah,25.3575,55.3908,642
Jingling,30.664,113.167,462
Kalyan,19.2502,73.1602,591
Nizhniy Novgorod,56.3269,44.0075,105
Yongcheng,33.9299,116.45,132
Sumedang,-6.84,107.9208,692
Can Tho,10.0333,105.7833,224
Brussels,50.8467,4.3525,634
Suwon,37.2667,127.0167,66
Yiwu,29.3069,120.0753,792
Beidao,34.602,105.918,275
Vasai-Virar,19.3607,72.7956,591
Xiangshui,26.5964,104.8314,517
Dadukou,26.5824,101.7184,438
Campinas,-22.9058,-47.0608,638
Lingcheng,22.7,110.35,605
Shuangyashan,46.6762,131.1416,509
Mombasa,-4.05,39.6667,152
Najafgarh,28.6092,76.9798,981
Xinyu,27.8186,114.9167,782
Qom,34.64,50.8764,196
Hargeysa,9.5631,44.0675,901
Baidoa,3.1167,43.65,964
Zhangye,38.9248,100.4499,101
Varanasi,25.3189,83.0128,934
Hiroshima,34.3914,132.4519,99
Chiang Mai,18.7953,98.9986,87
Belgrade,44.82,20.46,123
Maiduguri,11.8333,13.15,673
Chelyabinsk,55.1547,61.3758,784
Batam Centre,1.13,104.0531,797
Rongcheng,26.218,104.103,517
Mbandaka,0.0478,18.2558,355
Doha,25.2867,51.5333,669
Ahvaz,31.3047,48.6783,362
Shymkent,42.3167,69.5958,268
Tripoli,32.8872,13.1914,434
Srinagar,34.09,74.79,460
Nashville,36.1715,-86.7842,630
Liaoyuan,42.888,125.1447,338
Aurangabad,19.88,75.32,819
Cilacap,-7.7167,109.017,167
Salt Lake City,40.7776,-111.9311,69
Omsk,54.9833,73.3667,157
Pikine,14.75,-17.4,133
Samara,53.2028,50.1408,744
Guankou,28.1637,113.6433,190
Bandar Lampung,-5.45,105.2667,692
Raleigh,35.8324,-78.6429,181
Lianyuan,27.692,111.664,190
Rongcheng,29.8402,112.9048,462
Dhanbad,23.7998,86.4305,334
Nay Pyi Taw,19.7475,96.115,839
Aba,5.1167,7.3667,727
Kaiyuan,36.0193,113.86,597
Zhuji,29.7167,120.2333,792
Yingtan,28.2721,117.0395,782
Edmonton,53.5344,-113.4903,427
Leiyang,26.4223,112.8598,190
Ulsan,35.55,129.3167,978
Yichun,47.728,128.841,960
Benin City,6.3333,5.6222,852
Bujumbura,-3.3833,29.3667,188
Guyuan,36.01,106.257,743
Xiantao,30.328,113.443,462
Rostov,47.2225,39.71,603
Maputo,-25.9667,32.5833,686
Bukavu,-2.5,28.8667,188
Amritsar,31.64,74.86,38
Shagamu,6.8333,3.65,177
Yingchuan,34.1511,113.4733,597
Aligarh,27.88,78.08,877
Santo Domingo,18.4667,-69.95,384
Bogor,-6.5966,106.7972,692
Bishkek,42.8747,74.6122,15
Tbilisi,41.7225,44.7925,315
Guwahati,26.1722,91.7458,20
Ufa,54.7261,55.9475,834
Fes,34.0433,-5.0033,648
Mwanza,-2.5167,32.9,878
Bien Hoa,10.95,106.8167,753
Mexicali,32.6633,-115.4678,582
Sevilla,37.39,-5.99,422
Ikare,7.5167,5.75,852
Dongtai,32.795,120.519,602
Dingzhou,38.516,114.99,415
Xibeijie,39.7334,98.4943,537
Tamale,9.4075,-0.8533,56
Yuyao,30.05,121.15,602
Hanchuan,30.652,113.8274,462
Gongzhuling,43.5053,124.8224,338
N'Djamena,12.11,15.05,176
Ubungo,-6.7889,39.2056,152
Cologne,50.9364,6.9528,622
Krasnoyarsk,56.0089,92.8719,330
Zhufeng,36.0,119.4167,386
Ezhou,30.3914,114.8949,462
Astana,51.1472,71.4222,527
Nezahualcoyotl,19.4081,-99.0186,401
Nouakchott,18.0858,-15.9785,618
Haora,22.58,88.3294,233
Tongjin,37.2333,127.2,66
Xiashi,30.5333,120.6833,602
Yerevan,40.1814,44.5144,315
Ranchi,23.36,85.33,334
Richmond,37.5295,-77.4756,586
Ciudad Nezahualcoyotl,19.4006,-99.0148,401
Gwalior,26.2124,78.1772,108
Ottawa,45.4247,-75.695,707
Zhongwei,37.5002,105.1968,435
Oslo,59.9133,10.7389,81
Goyang,37.65,126.8,66
Sendai,38.2682,140.8694,300
Mizhou,35.99,119.3801,386
Xishan,27.6461,113.497,190
Barquisimeto,10.0636,-69.3347,734
Hegang,47.3501,130.298,509
Chandigarh,30.75,76.78,488
Voronezh,51.6717,39.2106,745
Managua,12.1364,-86.2514,806
Haldwani,29.22,79.52,899
Vijayawada,16.5193,80.6305,1
Perm,58.0,56.3167,41
Fangchenggang,21.6867,108.3547,243
Jiancheng,30.3931,104.5465,234
Cazenga,-8.8214,13.2911,523
Kisangani,0.5167,25.2,677
Shouguang,36.857,118.791,386
Memphis,35.1087,-89.9663,359
Sao Luis,-2.5283,-44.3044,694
Jodhpur,26.28,73.02,943
Matola,-25.9667,32.4667,686
Ogbomoso,8.1333,4.25,852
Sanya,18.2533,109.5036,112
Rangapukur,25.56,89.25,577
Ashgabat,37.9375,58.38,140
Wutong,30.6333,120.5333,602
Linhai,28.85,121.1167,792
Denizli,37.7833,29.0964,255
Niamey,13.515,2.1175,895
Shubra al Khaymah,30.1286,31.2422,127
Wafangdian,39.6271,121.9796,353
Zhongxiang,31.169,112.5853,844
Monrovia,6.3133,-10.8014,739
San Cristobal,7.7667,-72.2333,500
Islamabad,33.6931,73.0639,588
Xinyi,22.3549,110.9468,605
Thu Duc,10.8266,106.7609,753
Morelia,19.7683,-101.1894,952
Odesa,46.4775,30.7326,206
Raipur,21.2444,81.6306,632
Changwon,35.2708,128.6631,978
Arequipa,-16.4,-71.5333,287
Volgograd,48.7086,44.5147,409
Zaoyang,32.129,112.772,462
Xingyi,25.092,104.8955,517
Shuizhai,33.4433,114.8994,597
Kota,25.18,75.83,211
Quetta,30.1833,67.0,726
Quang Ha,15.9333,108.2667,317
Domaa-Ahenkro,7.2833,-2.8833,443
Bareilly,28.364,79.415,899
Oklahoma City,35.4676,-97.5136,110
Bordeaux,44.84,-0.58,454
Xingcheng,24.1347,115.73,436
Taixing,32.159,120.029,602
Xinhualu,34.3964,113.7402,597
Lilongwe,-13.9833,33.7833,756
Port-au-Prince,18.5333,-72.3333,88
Yingcheng,24.21,113.401,696
Al Mijlad,11.0339,27.74,212
Luocheng,22.7689,111.5697,605
Pekanbaru,0.5092,101.4453,953
Natal,-6.9838,-60.2699,45
Chiba,35.6073,140.1064,4
Kirkuk,35.4667,44.3167,288
Hartford,41.7661,-72.6834,658
Huilong,31.87,121.703,602
